Label,Dice_ET,Dice_WT,Dice_TC,Sensitivity_ET,Sensitivity_WT,Sensitivity_TC,Specificity_ET,Specificity_WT,Specificity_TC,Hausdorff95_ET,Hausdorff95_WT,Hausdorff95_TC
BraTS20_Training_001,0.89698,0.93229,0.96333,0.86699,0.88541,0.97362,0.99979,0.99966,0.99977,1.0,3.0,1.0
BraTS20_Training_002,0.85231,0.91402,0.96286,0.79661,0.87215,0.96467,0.99995,0.99973,0.99993,1.0,3.16228,1.0
BraTS20_Training_003,0.863,0.8548,0.92073,0.86991,0.82353,0.92308,0.99995,0.99965,0.99997,1.41421,3.0,1.41421
BraTS20_Training_004,0.89623,0.9604,0.92921,0.88553,0.9486,0.89178,0.99984,0.99968,0.99992,1.0,1.41421,2.44949
BraTS20_Training_005,0.78042,0.79066,0.89908,0.74717,0.67026,0.85746,0.9998,0.99994,0.99992,2.23607,6.07035,2.44949
BraTS20_Training_006,0.82813,0.94115,0.94604,0.83032,0.90491,0.95287,0.99951,0.99971,0.99969,1.41421,2.23607,1.73205
BraTS20_Training_007,0.88289,0.89318,0.93488,0.8464,0.85651,0.92152,0.99995,0.99972,0.99995,1.0,3.60555,14.53779
BraTS20_Training_008,0.84288,0.8529,0.8603,0.7597,0.89123,0.79678,0.99999,0.99925,0.99999,1.41421,5.74456,1.55724
BraTS20_Training_009,0.76792,0.93466,0.92047,0.66152,0.93383,0.92541,0.99965,0.99865,0.99926,2.82843,3.60555,3.31662
BraTS20_Training_010,0.88492,0.85262,0.91674,0.84165,0.77228,0.91078,0.99996,0.9998,0.99994,1.73205,3.31662,1.41421
BraTS20_Training_011,0.78074,0.91621,0.91608,0.96883,0.94567,0.93726,0.99967,0.99926,0.99987,2.0,6.40312,2.23607
BraTS20_Training_012,0.79424,0.8462,0.92468,0.68307,0.7543,0.89106,0.99998,0.9999,0.99997,1.41421,19.0263,1.41421
BraTS20_Training_013,0.73554,0.89705,0.91001,0.70859,0.85302,0.85779,0.9999,0.99975,0.99996,1.41421,5.91608,2.0
BraTS20_Training_014,0.83552,0.93233,0.92717,0.81046,0.93067,0.91316,0.99974,0.9994,0.99982,1.41421,2.23607,2.0
BraTS20_Training_015,0.8629,0.95301,0.78885,0.81626,0.93405,0.65877,0.99992,0.99963,0.99998,1.0,2.0,7.48331
BraTS20_Training_016,0.61818,0.92591,0.90207,0.67999,0.95113,0.94669,0.99924,0.99851,0.9993,4.12311,3.0,3.31662
BraTS20_Training_017,0.87045,0.92973,0.86859,0.90294,0.93938,0.82886,0.99986,0.99907,0.99987,1.0,2.23607,3.60555
BraTS20_Training_018,0.82494,0.86789,0.86905,0.88968,0.8525,0.93713,0.99995,0.99943,0.99995,1.41421,3.74166,1.41421
BraTS20_Training_019,0.81285,0.89594,0.93251,0.88699,0.8249,0.90047,0.99968,0.99992,0.99993,1.41421,5.74456,2.0
BraTS20_Training_020,0.7521,0.95061,0.93074,0.71058,0.95731,0.94706,0.99945,0.99886,0.99881,1.41421,2.44949,4.12311
BraTS20_Training_021,0.70233,0.8322,0.90005,0.90942,0.78648,0.88393,0.99977,0.99957,0.99995,2.23607,4.24264,1.41421
BraTS20_Training_022,0.88477,0.95327,0.9519,0.86428,0.95054,0.92976,0.99982,0.99966,0.99992,1.0,1.41421,1.41421
BraTS20_Training_023,0.88018,0.91649,0.9624,0.92557,0.86487,0.96742,0.99978,0.9999,0.99992,1.41421,1.73205,1.0
BraTS20_Training_024,0.86461,0.90947,0.91778,0.77784,0.86594,0.86857,0.99994,0.99958,0.99992,1.41421,3.60555,1.73205
BraTS20_Training_025,0.89768,0.93214,0.96243,0.924,0.94849,0.98735,0.99974,0.99928,0.99973,1.0,2.23607,1.41421
BraTS20_Training_026,0.73751,0.94464,0.91038,0.67418,0.92329,0.91651,0.99959,0.99935,0.99962,2.23607,2.23607,2.23607
BraTS20_Training_027,0.80142,0.89769,0.93391,0.69111,0.86568,0.90308,0.99994,0.99953,0.99991,1.41421,4.89898,2.23607
BraTS20_Training_028,0.65959,0.90759,0.87019,0.57602,0.8632,0.88348,0.99982,0.99991,0.99975,1.73205,3.60555,2.44949
BraTS20_Training_029,0.83527,0.93688,0.94497,0.73689,0.91128,0.91507,0.99998,0.99976,0.99998,1.41421,1.41421,1.0
BraTS20_Training_030,0.85286,0.87327,0.87005,0.8738,0.82216,0.86185,0.99988,0.99931,0.99989,1.0,3.16228,2.0
BraTS20_Training_031,0.84649,0.91114,0.93095,0.76099,0.87557,0.9105,0.99991,0.99954,0.99985,1.41421,3.74166,1.41421
BraTS20_Training_032,0.7986,0.90786,0.90719,0.76545,0.90555,0.90597,0.99984,0.99973,0.99982,1.41421,2.37479,2.23607
BraTS20_Training_033,0.91371,0.95559,0.95408,0.89793,0.9371,0.92092,0.99988,0.99966,0.99997,1.0,1.41421,1.41421
BraTS20_Training_034,0.80824,0.95132,0.95424,0.70057,0.94427,0.93409,0.99991,0.99958,0.99988,1.41421,1.73205,1.73205
BraTS20_Training_035,0.82861,0.86929,0.84525,0.90697,0.83598,0.8269,0.99923,0.99922,0.9993,1.41421,4.12311,4.69042
BraTS20_Training_036,0.85187,0.90322,0.89519,0.83488,0.92731,0.92819,0.99993,0.99979,0.99991,1.73205,2.0,1.73205
